index;data;
size;100000;
seed;8343;
0;8427;
1;8511;
2;8595;
3;8679;
4;8763;
5;8847;
6;8931;
7;9015;
8;9099;
9;9183;
10;9267;
11;9351;
12;9435;
13;9519;
14;9603;
15;9687;
16;9771;
17;9855;
18;9939;
19;10023;
20;10107;
21;10191;
22;10275;
23;10359;
24;10443;
25;10527;
26;10611;
27;10695;
28;10779;
29;10863;
30;10947;
31;11031;
32;11115;
33;11199;
34;11283;
35;11367;
36;11451;
37;11535;
38;11619;
39;11703;
40;11787;
41;11871;
42;11955;
43;12039;
44;12123;
45;12207;
46;12291;
47;12375;
48;12459;
49;12543;
50;12627;
51;12711;
52;12795;
53;12879;
54;12963;
55;13047;
56;13131;
57;13215;
58;13299;
59;13383;
60;13467;
61;13551;
62;13635;
63;13719;
64;13803;
65;13887;
66;13971;
67;14055;
68;14139;
69;14223;
70;14307;
71;14391;
72;14475;
73;14559;
74;14643;
75;14727;
76;14811;
77;14895;
78;14979;
79;15063;
80;15147;
81;15231;
82;15315;
83;15399;
84;15483;
85;15567;
86;15651;
87;15735;
88;15819;
89;15903;
90;15987;
91;16071;
92;16155;
93;16239;
94;16323;
95;16407;
96;16491;
97;16575;
98;16659;
99;16743;
100;16827;
101;16911;
102;16995;
103;17079;
104;17163;
105;17247;
106;17331;
107;17415;
108;17499;
109;17583;
110;17667;
111;17751;
112;17835;
113;17919;
114;18003;
115;18087;
116;18171;
117;18255;
118;18339;
119;18423;
120;18507;
121;18591;
122;18675;
123;18759;
124;18843;
125;18927;
126;19011;
127;19095;
128;19179;
129;19263;
130;19347;
131;19431;
132;19515;
133;19599;
134;19683;
135;19767;
136;19851;
137;19935;
138;20019;
139;20103;
140;20187;
141;20271;
142;20355;
143;20439;
144;20523;
145;20607;
146;20691;
147;20775;
148;20859;
149;20943;
150;21027;
151;21111;
152;21195;
153;21279;
154;21363;
155;21447;
156;21531;
157;21615;
158;21699;
159;21783;
160;21867;
161;21951;
162;22035;
163;22119;
164;22203;
165;22287;
166;22371;
167;22455;
168;22539;
169;22623;
170;22707;
171;22791;
172;22875;
173;22959;
174;23043;
175;23127;
176;23211;
177;23295;
178;23379;
179;23463;
180;23547;
181;23631;
182;23715;
183;23799;
184;23883;
185;23967;
186;24051;
187;24135;
188;24219;
189;24303;
190;24387;
191;24471;
192;24555;
193;24639;
194;24723;
195;24807;
196;24891;
197;24975;
198;25059;
199;25143;
200;25227;
201;25311;
202;25395;
203;25479;
204;25563;
205;25647;
206;25731;
207;25815;
208;25899;
209;25983;
210;26067;
211;26151;
212;26235;
213;26319;
214;26403;
215;26487;
216;26571;
217;26655;
218;26739;
219;26823;
220;26907;
221;26991;
222;27075;
223;27159;
224;27243;
225;27327;
226;27411;
227;27495;
228;27579;
229;27663;
230;27747;
231;27831;
232;27915;
233;27999;
234;28083;
235;28167;
236;28251;
237;28335;
238;28419;
239;28503;
240;28587;
241;28671;
242;28755;
243;28839;
244;28923;
245;29007;
246;29091;
247;29175;
248;29259;
249;29343;
250;29427;
251;29511;
252;29595;
253;29679;
254;29763;
255;29847;
256;29931;
257;30015;
258;30099;
259;30183;
260;30267;
261;30351;
262;30435;
263;30519;
264;30603;
265;30687;
266;30771;
267;30855;
268;30939;
269;31023;
270;31107;
271;31191;
272;31275;
273;31359;
274;31443;
275;31527;
276;31611;
277;31695;
278;31779;
279;31863;
280;31947;
281;32031;
282;32115;
283;32199;
284;32283;
285;32367;
286;32451;
287;32535;
288;32619;
289;32703;
290;32787;
291;32871;
292;32955;
293;33039;
294;33123;
295;33207;
296;33291;
297;33375;
298;33459;
299;33543;
300;33627;
301;33711;
302;33795;
303;33879;
304;33963;
305;34047;
306;34131;
307;34215;
308;34299;
309;34383;
310;34467;
311;34551;
312;34635;
313;34719;
314;34803;
